Medicine_ID,Medicine_Name,Category,Manufacturer,Is_Critical,Month,Opening_Stock,Restock_Qty,Monthly_Demand,Demand_Std_Dev,Fulfilled_Demand,Stockout_Units,Stockout_Flag,Closing_Stock,Lead_Time_Days,Unit_Cost_INR,Holding_Cost_Percent,Ordering_Cost_INR,Shelf_Life_Months
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-08,36,517,728,193,553,175,Yes,0,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-09,0,0,717,113.9,0,717,Yes,0,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-10,0,379,345,90.9,345,0,No,34,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-11,34,336,345,52.7,345,0,No,25,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-12,25,269,269,44.2,269,0,No,25,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-01,25,0,291,71.9,25,266,Yes,0,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-02,0,301,282,52,282,0,No,19,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-03,19,209,282,96.6,228,54,Yes,0,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-04,0,444,373,74.8,373,0,No,71,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-05,71,592,514,128.7,514,0,No,149,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-06,149,452,600,155.6,600,0,No,1,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-07,1,566,746,239.2,567,179,Yes,0,2,693.01,0.22,259.5,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-08,295,0,2318,753.2,295,2023,Yes,0,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-09,0,2126,2328,396.3,2126,202,Yes,0,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-10,0,1283,1525,300,1283,242,Yes,0,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-11,0,0,1161,377,0,1161,Yes,0,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-12,0,0,1038,278.9,0,1038,Yes,0,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-01,0,1057,915,166.7,915,0,No,142,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-02,142,1040,825,207.3,825,0,No,357,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-03,357,1026,1096,372.7,1096,0,No,287,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-04,287,1369,1378,342.6,1378,0,No,278,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-05,278,1549,1722,544.8,1722,0,No,105,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-06,105,2745,2334,617.5,2334,0,No,516,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-07,516,0,2641,572.6,516,2125,Yes,0,5,6.15,0.12,202.68,18
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-08,1290,6315,6468,1364.9,6468,0,No,1137,5,136.83,0.13,334.15,9
