Medicine_ID,Medicine_Name,Category,Manufacturer,Is_Critical,Month,Opening_Stock,Restock_Qty,Monthly_Demand,Fulfilled_Demand,Stockout_Units,Stockout_Flag,Closing_Stock,Lead_Time_Days,Unit_Cost_INR,Holding_Cost_Percent,Ordering_Cost_INR,Shelf_Life_Months
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-08,36,517,728,553,175,Yes,0,2,693.01,0.22,259.5,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-09,0,0,717,0,717,Yes,0,2,693.01,0.22,257.45,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-10,0,379,345,345,0,No,34,2,693.01,0.22,264.82,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-11,34,336,345,345,0,No,25,2,693.01,0.22,268.61,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2025-12,25,269,269,269,0,No,25,2,693.01,0.22,270.22,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-01,25,0,291,25,266,Yes,0,2,693.01,0.22,264.6,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-02,0,301,282,282,0,No,19,2,693.01,0.22,258.98,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-03,19,209,282,228,54,Yes,0,2,693.01,0.22,251.76,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-04,0,444,373,373,0,No,71,2,732.09,0.22,257.75,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-05,71,592,514,514,0,No,149,2,732.09,0.22,259.4,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-06,149,452,600,600,0,No,1,2,732.09,0.22,262.8,18
MED0001,Nifedipine 2.5mg Capsule,Vaccine,Aurobindo,Yes,2026-07,1,566,746,567,179,Yes,0,2,732.09,0.22,254.96,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-08,295,0,2318,295,2023,Yes,0,5,6.15,0.12,202.68,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-09,0,2126,2328,2126,202,Yes,0,5,6.15,0.12,206.92,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-10,0,1283,1525,1283,242,Yes,0,5,6.15,0.12,203.25,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-11,0,0,1161,0,1161,Yes,0,5,6.15,0.12,199.19,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2025-12,0,0,1038,0,1038,Yes,0,5,6.15,0.12,195.15,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-01,0,1057,915,915,0,No,142,5,6.15,0.12,192.65,18
